client_id,raw_filename,repeat_id,gas,class_id,concentration,physical_window_start_s,physical_window_end_s,canonical_identity,budget_membership
5,B5_GEa_F010_R2.txt,2,ethanol,0,12.5,150.0,160.0,C5|B5_GEa_F010_R2.txt|2|0|12.500000|150.000000|160.000000,05;10;15;20
5,B5_GEa_F010_R1.txt,1,ethanol,0,12.5,135.0,145.0,C5|B5_GEa_F010_R1.txt|1|0|12.500000|135.000000|145.000000,05;10;15;20
5,B5_GEa_F010_R2.txt,2,ethanol,0,12.5,145.0,155.0,C5|B5_GEa_F010_R2.txt|2|0|12.500000|145.000000|155.000000,10;15;20
5,B5_GEa_F010_R1.txt,1,ethanol,0,12.5,75.0,85.00000000000001,C5|B5_GEa_F010_R1.txt|1|0|12.500000|75.000000|85.000000,10;15;20
5,B5_GEa_F010_R2.txt,2,ethanol,0,12.5,75.0,85.00000000000001,C5|B5_GEa_F010_R2.txt|2|0|12.500000|75.000000|85.000000,15;20
5,B5_GEa_F010_R1.txt,1,ethanol,0,12.5,70.0,80.00000000000001,C5|B5_GEa_F010_R1.txt|1|0|12.500000|70.000000|80.000000,15;20
5,B5_GEa_F020_R2.txt,2,ethanol,0,25.0,125.0,135.0,C5|B5_GEa_F020_R2.txt|2|0|25.000000|125.000000|135.000000,05;10;15;20
5,B5_GEa_F020_R1.txt,1,ethanol,0,25.0,100.0,110.00000000000001,C5|B5_GEa_F020_R1.txt|1|0|25.000000|100.000000|110.000000,05;10;15;20
5,B5_GEa_F020_R2.txt,2,ethanol,0,25.0,75.0,85.00000000000001,C5|B5_GEa_F020_R2.txt|2|0|25.000000|75.000000|85.000000,10;15;20
5,B5_GEa_F020_R1.txt,1,ethanol,0,25.0,95.0,105.00000000000001,C5|B5_GEa_F020_R1.txt|1|0|25.000000|95.000000|105.000000,10;15;20
5,B5_GEa_F020_R2.txt,2,ethanol,0,25.0,120.0,130.0,C5|B5_GEa_F020_R2.txt|2|0|25.000000|120.000000|130.000000,15;20
5,B5_GEa_F020_R2.txt,2,ethanol,0,25.0,65.0,75.0,C5|B5_GEa_F020_R2.txt|2|0|25.000000|65.000000|75.000000,15;20
5,B5_GEa_F030_R1.txt,1,ethanol,0,37.5,120.0,130.0,C5|B5_GEa_F030_R1.txt|1|0|37.500000|120.000000|130.000000,05;10;15;20
5,B5_GEa_F030_R2.txt,2,ethanol,0,37.5,70.0,80.00000000000001,C5|B5_GEa_F030_R2.txt|2|0|37.500000|70.000000|80.000000,05;10;15;20
5,B5_GEa_F030_R1.txt,1,ethanol,0,37.5,125.0,135.0,C5|B5_GEa_F030_R1.txt|1|0|37.500000|125.000000|135.000000,10;15;20
5,B5_GEa_F030_R2.txt,2,ethanol,0,37.5,115.0,125.00000000000001,C5|B5_GEa_F030_R2.txt|2|0|37.500000|115.000000|125.000000,10;15;20
5,B5_GEa_F030_R1.txt,1,ethanol,0,37.5,65.0,75.0,C5|B5_GEa_F030_R1.txt|1|0|37.500000|65.000000|75.000000,15;20
5,B5_GEa_F030_R2.txt,2,ethanol,0,37.5,95.0,105.00000000000001,C5|B5_GEa_F030_R2.txt|2|0|37.500000|95.000000|105.000000,15;20
5,B5_GEa_F040_R2.txt,2,ethanol,0,50.0,90.0,100.00000000000001,C5|B5_GEa_F040_R2.txt|2|0|50.000000|90.000000|100.000000,05;10;15;20
5,B5_GEa_F040_R1.txt,1,ethanol,0,50.0,115.0,125.00000000000001,C5|B5_GEa_F040_R1.txt|1|0|50.000000|115.000000|125.000000,05;10;15;20
5,B5_GEa_F040_R2.txt,2,ethanol,0,50.0,145.0,155.0,C5|B5_GEa_F040_R2.txt|2|0|50.000000|145.000000|155.000000,10;15;20
5,B5_GEa_F040_R1.txt,1,ethanol,0,50.0,80.0,90.00000000000001,C5|B5_GEa_F040_R1.txt|1|0|50.000000|80.000000|90.000000,10;15;20
5,B5_GEa_F040_R2.txt,2,ethanol,0,50.0,130.0,140.0,C5|B5_GEa_F040_R2.txt|2|0|50.000000|130.000000|140.000000,15;20
5,B5_GEa_F040_R1.txt,1,ethanol,0,50.0,135.0,145.0,C5|B5_GEa_F040_R1.txt|1|0|50.000000|135.000000|145.000000,15;20
