nominal_budget,replicate,sample_index,filename,gas_id,gas,concentration_ppm
320,0,0,B5_GCO_F090_R2.txt,1,CO,225.0
320,0,1,B5_GEa_F070_R2.txt,0,Ethanol,87.5
320,0,2,B5_GEa_F080_R2.txt,0,Ethanol,100.0
320,0,3,B5_GMe_F100_R2.txt,3,Methane,250.0
320,0,4,B5_GEa_F070_R1.txt,0,Ethanol,87.5
320,0,5,B5_GEy_F060_R2.txt,2,Ethylene,75.0
320,0,6,B5_GMe_F060_R1.txt,3,Methane,150.0
320,0,7,B5_GCO_F020_R2.txt,1,CO,50.0
320,0,8,B5_GEy_F010_R2.txt,2,Ethylene,12.5
320,0,9,B5_GMe_F050_R1.txt,3,Methane,125.0
320,0,10,B5_GMe_F030_R1.txt,3,Methane,75.0
320,0,11,B5_GEa_F050_R1.txt,0,Ethanol,62.5
320,0,12,B5_GEy_F080_R1.txt,2,Ethylene,100.0
320,0,13,B5_GEa_F090_R2.txt,0,Ethanol,112.5
320,0,14,B5_GEy_F020_R1.txt,2,Ethylene,25.0
320,0,15,B5_GMe_F040_R1.txt,3,Methane,100.0
320,0,16,B5_GEa_F050_R2.txt,0,Ethanol,62.5
320,0,17,B5_GEa_F030_R1.txt,0,Ethanol,37.5
320,0,18,B5_GMe_F080_R1.txt,3,Methane,200.0
320,0,19,B5_GCO_F060_R2.txt,1,CO,150.0
320,0,20,B5_GMe_F010_R1.txt,3,Methane,25.0
320,0,21,B5_GEy_F090_R2.txt,2,Ethylene,112.5
320,0,22,B5_GCO_F030_R2.txt,1,CO,75.0
320,0,23,B5_GCO_F050_R2.txt,1,CO,125.0
320,0,24,B5_GEy_F060_R1.txt,2,Ethylene,75.0
320,0,25,B5_GCO_F030_R1.txt,1,CO,75.0
320,0,26,B5_GEa_F100_R1.txt,0,Ethanol,125.0
320,0,27,B5_GEa_F080_R2.txt,0,Ethanol,100.0
320,0,28,B5_GCO_F070_R1.txt,1,CO,175.0
320,0,29,B5_GCO_F040_R1.txt,1,CO,100.0
320,0,30,B5_GMe_F010_R2.txt,3,Methane,25.0
320,0,31,B5_GEa_F060_R1.txt,0,Ethanol,75.0
320,0,32,B5_GCO_F100_R2.txt,1,CO,250.0
320,0,33,B5_GEa_F090_R2.txt,0,Ethanol,112.5
320,0,34,B5_GEy_F040_R1.txt,2,Ethylene,50.0
320,0,35,B5_GEy_F100_R2.txt,2,Ethylene,125.0
320,0,36,B5_GCO_F070_R1.txt,1,CO,175.0
320,0,37,B5_GEy_F010_R1.txt,2,Ethylene,12.5
320,0,38,B5_GCO_F050_R1.txt,1,CO,125.0
320,0,39,B5_GEa_F020_R1.txt,0,Ethanol,25.0
320,0,40,B5_GMe_F050_R1.txt,3,Methane,125.0
320,0,41,B5_GCO_F040_R2.txt,1,CO,100.0
320,0,42,B5_GEy_F040_R2.txt,2,Ethylene,50.0
320,0,43,B5_GCO_F030_R1.txt,1,CO,75.0
320,0,44,B5_GEa_F020_R2.txt,0,Ethanol,25.0
320,0,45,B5_GEy_F020_R1.txt,2,Ethylene,25.0
320,0,46,B5_GCO_F010_R2.txt,1,CO,25.0
320,0,47,B5_GMe_F060_R2.txt,3,Methane,150.0
320,0,48,B5_GEa_F080_R2.txt,0,Ethanol,100.0
320,0,49,B5_GEa_F080_R2.txt,0,Ethanol,100.0
320,0,50,B5_GEa_F020_R1.txt,0,Ethanol,25.0
320,0,51,B5_GEa_F050_R1.txt,0,Ethanol,62.5
320,0,52,B5_GEa_F050_R1.txt,0,Ethanol,62.5
320,0,53,B5_GEy_F030_R2.txt,2,Ethylene,37.5
320,0,54,B5_GMe_F020_R1.txt,3,Methane,50.0
320,0,55,B5_GEa_F080_R1.txt,0,Ethanol,100.0
320,0,56,B5_GEa_F040_R1.txt,0,Ethanol,50.0
320,0,57,B5_GCO_F090_R1.txt,1,CO,225.0
320,0,58,B5_GEy_F050_R1.txt,2,Ethylene,62.5
320,0,59,B5_GMe_F060_R1.txt,3,Methane,150.0
320,0,60,B5_GEy_F040_R2.txt,2,Ethylene,50.0
320,0,61,B5_GEy_F030_R1.txt,2,Ethylene,37.5
320,0,62,B5_GCO_F060_R2.txt,1,CO,150.0
320,0,63,B5_GMe_F070_R1.txt,3,Methane,175.0
320,0,64,B5_GEa_F030_R2.txt,0,Ethanol,37.5
320,0,65,B5_GMe_F100_R2.txt,3,Methane,250.0
320,0,66,B5_GCO_F100_R2.txt,1,CO,250.0
320,0,67,B5_GMe_F050_R1.txt,3,Methane,125.0
320,0,68,B5_GMe_F020_R1.txt,3,Methane,50.0
320,0,69,B5_GMe_F020_R1.txt,3,Methane,50.0
320,0,70,B5_GMe_F090_R2.txt,3,Methane,225.0
320,0,71,B5_GCO_F030_R1.txt,1,CO,75.0
320,0,72,B5_GMe_F090_R2.txt,3,Methane,225.0
320,0,73,B5_GCO_F060_R1.txt,1,CO,150.0
320,0,74,B5_GEy_F030_R2.txt,2,Ethylene,37.5
320,0,75,B5_GEa_F080_R2.txt,0,Ethanol,100.0
320,0,76,B5_GCO_F040_R1.txt,1,CO,100.0
