source_round,method,accuracy,macro_f1,nll,ece,num_examples,per_class_recall,checkpoint_sha256,commissioning_steps,commissioning_lr,commissioning_time_seconds,target_label_access,selection_role
1,source_only,0.6139705882352942,0.5719747938892251,1.0974078234504252,0.1810381324633079,1360,"{""0"": 0.5147058823529411, ""1"": 0.8823529411764706, ""2"": 0.13529411764705881, ""3"": 0.9235294117647059}",d8dc26d72a0901de0feadf1f3d76be265332683543d7b64613a6f16e8e16fe86,0,0.0,0.597867700002098,none,post_hoc_diagnostic_only
2,source_only,0.6080882352941176,0.5894593242389625,1.0873682456858018,0.15924927261384098,1360,"{""0"": 0.39705882352941174, ""1"": 0.7852941176470588, ""2"": 0.29705882352941176, ""3"": 0.9529411764705882}",8da92727c781a5586e5c5d22d6310c59118baff5d5fd72761961c3936b9558a2,0,0.0,0.6383236000001489,none,post_hoc_diagnostic_only
3,source_only,0.5691176470588235,0.5567822507926303,1.1095013730666217,0.16628239544875478,1360,"{""0"": 0.49117647058823527, ""1"": 0.5970588235294118, ""2"": 0.22647058823529412, ""3"": 0.961764705882353}",4da01216b210d4bdd46443c7cffc83c9a6ebce49de8179233a0e708640bcc693,0,0.0,0.5309594000027573,none,post_hoc_diagnostic_only
4,source_only,0.5007352941176471,0.47646628038886996,1.2900361019022324,0.2235501741223475,1360,"{""0"": 0.3058823529411765, ""1"": 0.2735294117647059, ""2"": 0.4647058823529412, ""3"": 0.9588235294117647}",e7cee1141cdd0062adc02cfe0ed160c8b19ecbcaca4ec676e805f85e5ad4e2b1,0,0.0,0.34892129999934696,none,post_hoc_diagnostic_only
5,source_only,0.3514705882352941,0.2950602283984941,1.7461502439835492,0.430115093575681,1360,"{""0"": 0.27058823529411763, ""1"": 0.041176470588235294, ""2"": 0.1264705882352941, ""3"": 0.9676470588235294}",199cf98ce5277c8ffde60b88bf56ba65be62a2acc7683ef17a8fd02db22d912f,0,0.0,0.3308821999999054,none,post_hoc_diagnostic_only
6,source_only,0.3352941176470588,0.2715033766595064,1.9277936935424804,0.49257392694844926,1360,"{""0"": 0.2411764705882353, ""1"": 0.01764705882352941, ""2"": 0.10882352941176471, ""3"": 0.9735294117647059}",aafc090e8d8c38235495e78fb4b6ef8b9beac57946466d0d6e3869dced55b0b7,0,0.0,0.35253979999833973,none,post_hoc_diagnostic_only
7,source_only,0.31470588235294117,0.24200149938262747,2.234296307844274,0.5753641493399354,1360,"{""0"": 0.17647058823529413, ""1"": 0.0058823529411764705, ""2"": 0.10294117647058823, ""3"": 0.9735294117647059}",73a2d285d05f52764abcb56b174337b3c34d0985c62f6489955cc0769aeb1cdd,0,0.0,0.3362845000010566,none,post_hoc_diagnostic_only
8,source_only,0.35441176470588237,0.2808013164697928,2.167564192940207,0.5301995357169824,1360,"{""0"": 0.18529411764705883, ""1"": 0.0, ""2"": 0.2676470588235294, ""3"": 0.9647058823529412}",77cc21346efd74bbb8a30a52e5ddc3a21843a389b77df42a763923217ca3471c,0,0.0,0.32656710000082967,none,post_hoc_diagnostic_only
9,source_only,0.36176470588235293,0.2839925291471533,2.272661638259888,0.5392570074647665,1360,"{""0"": 0.16470588235294117, ""1"": 0.0, ""2"": 0.3176470588235294, ""3"": 0.9647058823529412}",244f26dc50b19b13eeefb650a181117f54334899c988fb5c6492c4a8923a1ee7,0,0.0,0.5939625999999407,none,post_hoc_diagnostic_only
10,source_only,0.3573529411764706,0.2759640225332437,2.508929569580976,0.5695428483188152,1360,"{""0"": 0.1411764705882353, ""1"": 0.0, ""2"": 0.31470588235294117, ""3"": 0.9735294117647059}",ab57698df38ce6e4fd8a9f1a4c9fbd13443ec458f2406edc40dd7fba34b43e87,0,0.0,0.41296439999860013,none,post_hoc_diagnostic_only
