filename,class_id,gas,concentration,repeat,old_split,old_index,new_split,new_index,new_window_start_s,new_window_end_s,rmse_float64,mae_float64,max_abs_diff,cosine_similarity,rmse_both_float32,bit_identical,equal_atol_1e-6,equal_atol_1e-5,equal_atol_1e-4,equal_atol_1e-3
B5_GCO_F010_R1.txt,1,CO,25.0,1,calibration,196,calibration,23,90.0,100.0,0.0008213458113619811,0.0005298527944055361,0.004349331247090325,0.999901995057569,0.0008213458172733571,False,False,False,False,False
B5_GCO_F010_R1.txt,1,CO,25.0,1,calibration,306,test,1014,135.0,145.0,0.0007741753031009836,0.0005078658779305946,0.004349331247090325,0.9999317820784379,0.0007741752987056911,False,False,False,False,False
B5_GCO_F010_R1.txt,1,CO,25.0,1,test,29,test,1038,95.0,105.0,0.0008132674627140068,0.0005331210883716145,0.004383629482737496,0.9999115672087123,0.0008132673967871029,False,False,False,False,False
B5_GCO_F010_R1.txt,1,CO,25.0,1,test,307,calibration,71,140.0,150.0,0.0009186606047387599,0.0005798417993050854,0.004349331247090325,0.9999065020293112,0.0009186605913093332,False,False,False,False,False
B5_GCO_F010_R1.txt,1,CO,25.0,1,test,414,test,4,105.0,115.0,0.000916022624944659,0.0006009072100908528,0.004349331247090325,0.9998941519066147,0.000916022645684525,False,False,False,False,False
B5_GCO_F010_R1.txt,1,CO,25.0,1,test,467,calibration,28,100.0,110.0,0.0008727073936849746,0.0005763241711165826,0.004383629482737496,0.9999023622343113,0.000872707372341625,False,False,False,False,False
B5_GCO_F010_R1.txt,1,CO,25.0,1,test,478,test,531,110.0,120.0,0.0009948879318159205,0.0006471565498478859,0.004797976626914516,0.9998789660566134,0.0009948879154086608,False,False,False,False,False
B5_GCO_F010_R1.txt,1,CO,25.0,1,test,534,test,743,145.0,155.0,0.0009415360352117341,0.00058936309365042,0.004349331247090325,0.9999056148612943,0.0009415360525411394,False,False,False,False,False
B5_GCO_F010_R1.txt,1,CO,25.0,1,test,587,test,615,125.0,135.0,0.0009223570114238396,0.0005985801391648946,0.004349331247090325,0.9998994717327738,0.0009223569677880081,False,False,False,False,False
B5_GCO_F010_R1.txt,1,CO,25.0,1,test,646,test,1097,85.0,95.0,0.0008139980552624408,0.0005045985316106456,0.00473289326337251,0.9998932086548054,0.0008139981267806691,False,False,False,False,False
B5_GCO_F010_R1.txt,1,CO,25.0,1,test,694,test,961,60.0,70.0,0.0008666219525347178,0.0005749800404828652,0.004378289812082083,0.9996306178123512,0.0008666219313168123,False,False,False,False,False
B5_GCO_F010_R1.txt,1,CO,25.0,1,test,719,test,365,115.0,125.0,0.0010182700306573182,0.0006637811497761789,0.004797976626914516,0.9998770192511236,0.0010182699687205832,False,False,False,False,False
B5_GCO_F010_R1.txt,1,CO,25.0,1,test,858,test,409,130.0,140.0,0.0007822847690964659,0.0005144162952786917,0.004349331247090325,0.9999283160043148,0.0007822847131490963,False,False,False,False,False
B5_GCO_F010_R1.txt,1,CO,25.0,1,test,968,calibration,128,65.0,75.0,0.000907404111225379,0.000577953487491284,0.004378289812082083,0.9997949611975083,0.0009074041005624063,False,False,False,False,False
B5_GCO_F010_R1.txt,1,CO,25.0,1,test,1016,test,969,70.0,80.0,0.0008116479249728461,0.0005212946470123148,0.003963893306714317,0.9998685834062372,0.0008116478861736896,False,False,False,False,False
B5_GCO_F010_R1.txt,1,CO,25.0,1,test,1070,test,264,75.0,85.0,0.000865148863628617,0.0005800506882209246,0.003941061483166787,0.9998623427987355,0.0008651488194897344,False,False,False,False,False
B5_GCO_F010_R1.txt,1,CO,25.0,1,test,1099,test,474,80.0,90.0,0.0008987814412669252,0.0005709204659664012,0.00473289326337251,0.9998593746385463,0.000898781456526487,False,False,False,False,False
B5_GCO_F010_R1.txt,1,CO,25.0,1,test,1149,test,625,150.0,160.0,0.0008198313593765675,0.0005366589234721089,0.004383629482737496,0.9999315586756817,0.0008198314082645159,False,False,False,False,False
B5_GCO_F010_R1.txt,1,CO,25.0,1,test,1213,test,453,160.0,170.0,0.0009895515729162457,0.0006418462239451981,0.004349331247090325,0.9998868034330324,0.0009895514869605257,False,False,False,False,False
B5_GCO_F010_R1.txt,1,CO,25.0,1,test,1267,test,706,120.0,130.0,0.0010167056446634122,0.0006629233921395191,0.004383629482737496,0.9998787356969511,0.001016705607678075,False,False,False,False,False
B5_GCO_F010_R1.txt,1,CO,25.0,1,test,1357,test,1325,155.0,165.0,0.0009429476662357906,0.0006105711037081632,0.004383629482737496,0.9999080524548362,0.0009429476043011267,False,False,False,False,False
B5_GCO_F010_R2.txt,1,CO,25.0,2,calibration,46,test,38,105.0,115.0,0.0010981301855007228,0.0007075850613831862,0.007953732665849048,0.9992297277161545,0.0010981301694734738,False,False,False,False,False
B5_GCO_F010_R2.txt,1,CO,25.0,2,calibration,90,test,194,75.0,85.0,0.0011019226601100495,0.0007396869771579876,0.005247122579798428,0.9993459616987672,0.0011019227151986058,False,False,False,False,False
B5_GCO_F010_R2.txt,1,CO,25.0,2,calibration,132,test,72,95.0,105.0,0.001135520235923986,0.0007718426637921177,0.006700626625261925,0.9991915813207438,0.0011355201938696101,False,False,False,False,False
B5_GCO_F010_R2.txt,1,CO,25.0,2,calibration,234,test,1174,60.0,70.0,0.0010606522790602357,0.0007038405247629472,0.004475998085054506,0.9991282666935505,0.0010606522706247043,False,False,False,False,False
B5_GCO_F010_R2.txt,1,CO,25.0,2,calibration,279,test,704,85.0,95.0,0.001031535057873838,0.0006683405708915132,0.004757394411182539,0.9994336582674781,0.0010315350039892918,False,False,False,False,False
B5_GCO_F010_R2.txt,1,CO,25.0,2,calibration,296,test,825,65.0,75.0,0.0010537042218561625,0.0006825015278948634,0.0045815339058581555,0.9992536749338419,0.0010537042284135226,False,False,False,False,False
B5_GCO_F010_R2.txt,1,CO,25.0,2,test,22,test,1148,160.0,170.0,0.0011320191383824292,0.0008058454471913368,0.004204530975211642,0.9989848306897177,0.0011320191638877263,False,False,False,False,False
B5_GCO_F010_R2.txt,1,CO,25.0,2,test,67,test,1354,150.0,160.0,0.0010951562436069962,0.0007686887503902711,0.005026114024020548,0.9994468851914087,0.0010951563143808533,False,False,False,False,False
B5_GCO_F010_R2.txt,1,CO,25.0,2,test,248,calibration,202,115.0,125.0,0.0011535541905440694,0.0008594552157152094,0.0038873420803010794,0.9992467778010952,0.0011535542145655682,False,False,False,False,False
B5_GCO_F010_R2.txt,1,CO,25.0,2,test,359,test,526,110.0,120.0,0.0011304967472719198,0.000783736728571318,0.007953732665849048,0.9992458387119406,0.001130496762594179,False,False,False,False,False
B5_GCO_F010_R2.txt,1,CO,25.0,2,test,372,test,623,155.0,165.0,0.0011001182147804035,0.0007811992115326819,0.004273112743461243,0.9993094532674399,0.0011001182724710793,False,False,False,False,False
B5_GCO_F010_R2.txt,1,CO,25.0,2,test,374,test,436,145.0,155.0,0.0010765527179169632,0.0007412617502750545,0.005247122579798428,0.9994951169673293,0.001076552754081456,False,False,False,False,False
B5_GCO_F010_R2.txt,1,CO,25.0,2,test,393,test,418,140.0,150.0,0.0011061017701654984,0.0007440038773231798,0.007420171452985843,0.999433297257456,0.0011061017185752004,False,False,False,False,False
B5_GCO_F010_R2.txt,1,CO,25.0,2,test,502,test,1327,80.0,90.0,0.0010900941176086086,0.0007205858781554825,0.005247122579798428,0.9993957085741105,0.0010900940954688403,False,False,False,False,False
B5_GCO_F010_R2.txt,1,CO,25.0,2,test,853,test,273,70.0,80.0,0.0011176071472607067,0.0007357903397829262,0.0045815339058581555,0.9992396671079155,0.0011176072170716723,False,False,False,False,False
B5_GCO_F010_R2.txt,1,CO,25.0,2,test,879,calibration,293,100.0,110.0,0.0011531490689007692,0.0007816377553682239,0.006700626625261925,0.9991162503698741,0.0011531490461400898,False,False,False,False,False
