client,split,sample_index,true_class,route_class,true_ppm,phase,pred_class,H1_federated_source_ridge_ppm,prob_class_0,prob_class_1,prob_class_2,prob_class_3,confidence,route_correct,pred_84d_h1_ppm,pred_ppm,abs_error,squared_error
C5,calibration,0,1,1,225.0,2,1,250.0,0.00021963879407849163,0.9994199275970459,0.00036035379162058234,3.8820914483039815e-08,0.9994199275970459,1,215.61648573923816,215.61648573923816,9.383514260761842,88.05033988192086
C5,calibration,1,0,0,87.5,2,0,12.5,0.9996315240859985,0.00024827057495713234,0.00011642488971119747,3.774123797484208e-06,0.9996315240859985,1,91.00354553006235,91.00354553006235,3.503545530062354,12.2748312812199
C5,calibration,2,0,0,100.0,2,0,12.5,0.9996170997619629,0.000270345073658973,0.00010890870908042416,3.584497108022333e-06,0.9996170997619629,1,95.90489764775045,95.90489764775045,4.095102352249555,16.769863275399835
C5,calibration,3,3,3,250.0,2,3,214.87140540045345,4.163280664215563e-06,1.5828192090339144e-07,6.866790727144689e-07,0.9999949932098389,0.9999949932098389,1,250.0,250.0,0.0,0.0
C5,calibration,4,0,0,87.5,2,0,12.5,0.9996275901794434,0.00023888240684755147,0.00012993509881198406,3.593790324885049e-06,0.9996275901794434,1,89.51989273472331,89.51989273472331,2.0198927347233138,4.0799666597880275
C5,calibration,5,2,2,75.0,2,2,12.5,8.077417442109436e-05,0.0005238821031525731,0.9993952512741089,1.570544867490753e-07,0.9993952512741089,1,74.6405190481097,74.6405190481097,0.3594809518903048,0.12922655477195966
C5,calibration,6,3,3,150.0,2,3,152.29543430333518,4.169749445281923e-06,1.6373704170291603e-07,6.545104724864359e-07,0.9999949932098389,0.9999949932098389,1,148.9094156758248,148.9094156758248,1.090584324175211,1.1893741681367014
C5,calibration,7,1,1,50.0,2,1,105.14304632567314,0.0003167444374412298,0.9995238780975342,0.00015942135360091925,3.594709241383498e-08,0.9995238780975342,1,42.70805484720749,42.70805484720749,7.291945152792508,53.17246411133415
C5,calibration,8,2,2,12.5,2,2,12.5,0.0003124047943856567,0.001687167794443667,0.9980003237724304,1.567519802847528e-07,0.9980003237724304,1,12.600736984535871,12.600736984535871,0.10073698453587099,0.01014794005338031
C5,calibration,9,3,3,125.0,2,3,157.40212842033247,4.195493602310307e-06,1.6382091416744515e-07,6.548501119141292e-07,0.9999949932098389,0.9999949932098389,1,126.77928868344802,126.77928868344802,1.7792886834480157,3.165868219046173
C5,calibration,10,3,3,75.0,2,3,72.17477583141829,4.293401616450865e-06,1.6680826320225606e-07,6.306496516117477e-07,0.9999948740005493,0.9999948740005493,1,80.89391498450765,80.89391498450765,5.893914984507646,34.73823384460376
C5,calibration,11,0,0,62.5,2,0,12.5,0.9996277093887329,0.00024685656535439193,0.00012179588520666584,3.5723419387068134e-06,0.9996277093887329,1,63.54153079327299,63.54153079327299,1.0415307932729903,1.0847863933358644
