filename,client_id,unit_id,gas_code,gas,gas_type,class_label,classification_label,concentration_code,concentration,repeat_id,phase_label,regression_label,path,n_rows,duration_s,expected_rows_100hz,completeness,dt_median,dt_mean,dt_std,dt_p90,dt_p95,dt_p99,dt_max,duplicate_timestamp_count,gap_gt_0.015s,gap_gt_0.02s,gap_gt_0.05s,gap_gt_0.10s,gap_gt_0.50s,bin_median_samples,bin_p5_samples,bin_p95_samples,bin_min_samples,empty_bin_ratio,bins_le3,bins_4_7,bins_ge8
B1_GCO_F010_R1.txt,1,1,CO,carbon_monoxide,carbon_monoxide,1,1,010,25.0,1,early,"[0.0, 25.0, 0.0, 0.0]",B1_GCO_F010_R1.txt,53000,599.99,59999,0.88334805580093,0.009999999999990905,0.01132334346160379,0.005201884512121092,0.010000000000047748,0.020000000000010232,0.030000000000001137,0.42000000000007276,12,4580,3758,4,3,0,10.0,4.0,10.0,0,0.0013333333333333333,106,1054,4840
B1_GCO_F010_R2.txt,1,1,CO,carbon_monoxide,carbon_monoxide,1,1,010,25.0,2,middle,"[0.0, 25.0, 0.0, 0.0]",B1_GCO_F010_R2.txt,59957,599.99,59999,0.9992999883331389,0.009999999999990905,0.01000733883746143,0.001596409797547686,0.010000000000019327,0.010000000000047748,0.010000000000104592,0.39999999999997726,1,5,4,1,1,0,10.0,10.0,10.0,0,0.0005,4,0,5996
B1_GCO_F010_R3.txt,1,1,CO,carbon_monoxide,carbon_monoxide,1,1,010,25.0,3,late,"[0.0, 25.0, 0.0, 0.0]",B1_GCO_F010_R3.txt,59948,599.99,59999,0.9991499858330972,0.009999999999990905,0.010010010177013298,0.0005067816818224316,0.010000000000019327,0.010000000000047748,0.010000000000104592,0.05000000000001137,8,28,26,2,0,0,10.0,10.0,10.0,3,0.0,2,8,5990
B1_GCO_F010_R4.txt,1,1,CO,carbon_monoxide,carbon_monoxide,1,1,010,25.0,4,late,"[0.0, 25.0, 0.0, 0.0]",B1_GCO_F010_R4.txt,58597,599.99,59999,0.9766329438823981,0.009999999999990905,0.010359122222414061,0.002607287173291117,0.010000000000019327,0.010000000000047748,0.02999999999999936,0.05000000000001137,677,1145,1000,2,0,0,10.0,8.0,10.0,6,0.0,0,20,5980
B1_GCO_F020_R1.txt,1,1,CO,carbon_monoxide,carbon_monoxide,1,1,020,50.0,1,early,"[0.0, 50.0, 0.0, 0.0]",B1_GCO_F020_R1.txt,59998,599.99,59999,0.9999833330555509,0.009999999999990905,0.010000333350000834,5.773550801801753e-05,0.010000000000019327,0.010000000000047748,0.010000000000104592,0.01999999999998181,0,2,0,0,0,0,10.0,10.0,10.0,9,0.0,0,0,6000
B1_GCO_F020_R2.txt,1,1,CO,carbon_monoxide,carbon_monoxide,1,1,020,50.0,2,middle,"[0.0, 50.0, 0.0, 0.0]",B1_GCO_F020_R2.txt,60000,599.99,59999,1.000016666944449,0.009999999999990905,0.01,1.9180831215940035e-14,0.010000000000019327,0.010000000000047748,0.010000000000104592,0.010000000000104592,0,0,0,0,0,0,10.0,10.0,10.0,10,0.0,0,0,6000
B1_GCO_F020_R3.txt,1,1,CO,carbon_monoxide,carbon_monoxide,1,1,020,50.0,3,late,"[0.0, 50.0, 0.0, 0.0]",B1_GCO_F020_R3.txt,59940,599.99,59999,0.9990166502775046,0.009999999999990905,0.01001117933658146,0.0013229482410118923,0.010000000000019327,0.010000000000047748,0.010000000000104592,0.28000000000000114,7,15,10,3,3,0,10.0,10.0,10.0,0,0.0003333333333333333,6,1,5993
B1_GCO_F020_R4.txt,1,1,CO,carbon_monoxide,carbon_monoxide,1,1,020,50.0,4,late,"[0.0, 50.0, 0.0, 0.0]",B1_GCO_F020_R4.txt,58552,600.0,60000,0.9758666666666667,0.009999999999990905,0.010344292536592935,0.0025339257252588662,0.010000000000019327,0.010000000000047748,0.029999999999972715,0.05000000000006821,548,1142,936,9,0,0,10.0,8.0,10.0,1,0.0,1,24,5976
B1_GCO_F030_R1.txt,1,1,CO,carbon_monoxide,carbon_monoxide,1,1,030,75.0,1,early,"[0.0, 75.0, 0.0, 0.0]",B1_GCO_F030_R1.txt,51690,599.99,59999,0.8615143585726429,0.009999999999990905,0.011608141312128775,0.005421344335702197,0.01999999999998181,0.020000000000010232,0.030000000000001137,0.0800000000000125,2,5525,4190,182,0,0,10.0,4.0,10.0,1,0.0,180,1233,4587
B1_GCO_F030_R2.txt,1,1,CO,carbon_monoxide,carbon_monoxide,1,1,030,75.0,2,middle,"[0.0, 75.0, 0.0, 0.0]",B1_GCO_F030_R2.txt,59938,599.99,59999,0.9989833163886065,0.009999999999990905,0.010012014617784972,0.0007899039783493041,0.010000000000019327,0.010000000000047748,0.010000000000104592,0.12999999999999545,10,17,17,7,1,0,10.0,10.0,10.0,2,0.0,1,14,5985
B1_GCO_F030_R3.txt,1,1,CO,carbon_monoxide,carbon_monoxide,1,1,030,75.0,3,late,"[0.0, 75.0, 0.0, 0.0]",B1_GCO_F030_R3.txt,59996,599.99,59999,0.9999499991666527,0.009999999999990905,0.01000100011668028,0.00018258209781520652,0.010000000000019327,0.010000000000047748,0.010000000000104592,0.05000000000001137,2,2,2,1,0,0,10.0,10.0,10.0,7,0.0,0,1,5999
B1_GCO_F030_R4.txt,1,1,CO,carbon_monoxide,carbon_monoxide,1,1,030,75.0,4,late,"[0.0, 75.0, 0.0, 0.0]",B1_GCO_F030_R4.txt,58549,599.99,59999,0.9758329305488425,0.009999999999990905,0.010357155187295011,0.002600344090069049,0.010000000000019327,0.010000000000047748,0.029999999999972715,0.05000000000006821,618,1139,998,5,0,0,10.0,8.0,10.0,6,0.0,0,24,5976
B1_GCO_F040_R1.txt,1,1,CO,carbon_monoxide,carbon_monoxide,1,1,040,100.0,1,early,"[0.0, 100.0, 0.0, 0.0]",B1_GCO_F040_R1.txt,60000,599.99,59999,1.000016666944449,0.009999999999990905,0.01,1.9180831215940035e-14,0.010000000000019327,0.010000000000047748,0.010000000000104592,0.010000000000104592,0,0,0,0,0,0,10.0,10.0,10.0,10,0.0,0,0,6000
