filename,client_id,unit_id,gas_code,gas,gas_type,class_label,classification_label,concentration_code,concentration,repeat_id,phase_label,regression_label,channel,timeaware_response_legacy_G0_relative_rmse,legacy_response_timeaware_G0_relative_rmse
B3_GCO_F010_R1.txt,3,3,CO,carbon_monoxide,carbon_monoxide,1,1,010,25.0,1,early,"[0.0, 25.0, 0.0, 0.0]",0,5.113670223002989e-05,5.115305239581552e-05
B3_GCO_F010_R1.txt,3,3,CO,carbon_monoxide,carbon_monoxide,1,1,010,25.0,1,early,"[0.0, 25.0, 0.0, 0.0]",1,3.520936451320606e-06,3.5219883500220794e-06
B3_GCO_F010_R1.txt,3,3,CO,carbon_monoxide,carbon_monoxide,1,1,010,25.0,1,early,"[0.0, 25.0, 0.0, 0.0]",2,3.050024751442333e-05,3.0518895259218784e-05
B3_GCO_F010_R1.txt,3,3,CO,carbon_monoxide,carbon_monoxide,1,1,010,25.0,1,early,"[0.0, 25.0, 0.0, 0.0]",3,3.8518484208440744e-05,3.8519042245963775e-05
B3_GCO_F010_R1.txt,3,3,CO,carbon_monoxide,carbon_monoxide,1,1,010,25.0,1,early,"[0.0, 25.0, 0.0, 0.0]",4,0.00013965567190994823,0.00013972720411036161
B3_GCO_F010_R1.txt,3,3,CO,carbon_monoxide,carbon_monoxide,1,1,010,25.0,1,early,"[0.0, 25.0, 0.0, 0.0]",5,0.00012136813009857965,0.00012139380324009245
B3_GCO_F010_R1.txt,3,3,CO,carbon_monoxide,carbon_monoxide,1,1,010,25.0,1,early,"[0.0, 25.0, 0.0, 0.0]",6,6.537060648982043e-05,6.540707949629673e-05
B3_GCO_F010_R1.txt,3,3,CO,carbon_monoxide,carbon_monoxide,1,1,010,25.0,1,early,"[0.0, 25.0, 0.0, 0.0]",7,9.166538742357539e-06,9.179494331920114e-06
B3_GCO_F010_R2.txt,3,3,CO,carbon_monoxide,carbon_monoxide,1,1,010,25.0,2,middle,"[0.0, 25.0, 0.0, 0.0]",0,2.1044733237078443e-05,2.104394236896446e-05
B3_GCO_F010_R2.txt,3,3,CO,carbon_monoxide,carbon_monoxide,1,1,010,25.0,2,middle,"[0.0, 25.0, 0.0, 0.0]",1,2.7124670487940742e-05,2.7115049860667506e-05
B3_GCO_F010_R2.txt,3,3,CO,carbon_monoxide,carbon_monoxide,1,1,010,25.0,2,middle,"[0.0, 25.0, 0.0, 0.0]",2,5.561650986106824e-06,5.5573885402812826e-06
B3_GCO_F010_R2.txt,3,3,CO,carbon_monoxide,carbon_monoxide,1,1,010,25.0,2,middle,"[0.0, 25.0, 0.0, 0.0]",3,6.974355409967216e-05,6.973022725513527e-05
B3_GCO_F010_R2.txt,3,3,CO,carbon_monoxide,carbon_monoxide,1,1,010,25.0,2,middle,"[0.0, 25.0, 0.0, 0.0]",4,0.00019013570084355671,0.00019007316030947782
B3_GCO_F010_R2.txt,3,3,CO,carbon_monoxide,carbon_monoxide,1,1,010,25.0,2,middle,"[0.0, 25.0, 0.0, 0.0]",5,5.555627400128787e-06,5.5529364319380106e-06
B3_GCO_F010_R2.txt,3,3,CO,carbon_monoxide,carbon_monoxide,1,1,010,25.0,2,middle,"[0.0, 25.0, 0.0, 0.0]",6,5.110696018669551e-05,5.106995978445048e-05
B3_GCO_F010_R2.txt,3,3,CO,carbon_monoxide,carbon_monoxide,1,1,010,25.0,2,middle,"[0.0, 25.0, 0.0, 0.0]",7,1.634040909539541e-06,1.6315669408440178e-06
B3_GCO_F010_R3.txt,3,3,CO,carbon_monoxide,carbon_monoxide,1,1,010,25.0,3,middle,"[0.0, 25.0, 0.0, 0.0]",0,6.111960194212559e-05,6.112976047689451e-05
B3_GCO_F010_R3.txt,3,3,CO,carbon_monoxide,carbon_monoxide,1,1,010,25.0,3,middle,"[0.0, 25.0, 0.0, 0.0]",1,4.67805942824514e-06,4.67888801713954e-06
B3_GCO_F010_R3.txt,3,3,CO,carbon_monoxide,carbon_monoxide,1,1,010,25.0,3,middle,"[0.0, 25.0, 0.0, 0.0]",2,1.904420351261322e-05,1.90533365653113e-05
B3_GCO_F010_R3.txt,3,3,CO,carbon_monoxide,carbon_monoxide,1,1,010,25.0,3,middle,"[0.0, 25.0, 0.0, 0.0]",3,1.8798091943806083e-05,1.881194788026504e-05
B3_GCO_F010_R3.txt,3,3,CO,carbon_monoxide,carbon_monoxide,1,1,010,25.0,3,middle,"[0.0, 25.0, 0.0, 0.0]",4,4.4435633780447324e-05,4.444967996856306e-05
B3_GCO_F010_R3.txt,3,3,CO,carbon_monoxide,carbon_monoxide,1,1,010,25.0,3,middle,"[0.0, 25.0, 0.0, 0.0]",5,3.779626169954276e-05,3.780336374521447e-05
