filename,client_id,unit_id,gas_code,gas,gas_type,class_label,classification_label,concentration_code,concentration,repeat_id,phase_label,regression_label,channel,legacy_G0,timeaware_G0,absolute_difference,relative_difference_percent
B3_GCO_F010_R1.txt,3,3,CO,carbon_monoxide,carbon_monoxide,1,1,010,25.0,1,early,"[0.0, 25.0, 0.0, 0.0]",0,0.027045339195798702,0.027046714746074136,1.3755502754342341e-06,0.0050860899376256145
B3_GCO_F010_R1.txt,3,3,CO,carbon_monoxide,carbon_monoxide,1,1,010,25.0,1,early,"[0.0, 25.0, 0.0, 0.0]",1,0.04146842108317132,0.04146827592453997,1.4515863135111662e-07,0.00035004619794898524
B3_GCO_F010_R1.txt,3,3,CO,carbon_monoxide,carbon_monoxide,1,1,010,25.0,1,early,"[0.0, 25.0, 0.0, 0.0]",2,0.042222848130608635,0.04222411656270956,1.2684321009232002e-06,0.0030041367578983263
B3_GCO_F010_R1.txt,3,3,CO,carbon_monoxide,carbon_monoxide,1,1,010,25.0,1,early,"[0.0, 25.0, 0.0, 0.0]",3,0.12183665695843542,0.12184128392902298,4.62697058756234e-06,0.0037976834748025233
B3_GCO_F010_R1.txt,3,3,CO,carbon_monoxide,carbon_monoxide,1,1,010,25.0,1,early,"[0.0, 25.0, 0.0, 0.0]",4,0.009750297370740964,0.009748952025394974,1.345345345989471e-06,0.013797992972261858
B3_GCO_F010_R1.txt,3,3,CO,carbon_monoxide,carbon_monoxide,1,1,010,25.0,1,early,"[0.0, 25.0, 0.0, 0.0]",5,0.014172559925966123,0.014170846520616974,1.7134053491487528e-06,0.012089596784907949
B3_GCO_F010_R1.txt,3,3,CO,carbon_monoxide,carbon_monoxide,1,1,010,25.0,1,early,"[0.0, 25.0, 0.0, 0.0]",6,0.017551855371339395,0.01755072440924217,1.130962097223298e-06,0.006443547267772373
B3_GCO_F010_R1.txt,3,3,CO,carbon_monoxide,carbon_monoxide,1,1,010,25.0,1,early,"[0.0, 25.0, 0.0, 0.0]",7,0.13190559328901463,0.13190675700832336,1.1637193087221664e-06,0.0008822365145444393
B3_GCO_F010_R2.txt,3,3,CO,carbon_monoxide,carbon_monoxide,1,1,010,25.0,2,middle,"[0.0, 25.0, 0.0, 0.0]",0,0.027601642231590826,0.027602222082708832,5.798511180064858e-07,0.0021007848487465375
B3_GCO_F010_R2.txt,3,3,CO,carbon_monoxide,carbon_monoxide,1,1,010,25.0,2,middle,"[0.0, 25.0, 0.0, 0.0]",1,0.044798545124860784,0.04479733476110878,1.2103637520022303e-06,0.00270179254399613
B3_GCO_F010_R2.txt,3,3,CO,carbon_monoxide,carbon_monoxide,1,1,010,25.0,2,middle,"[0.0, 25.0, 0.0, 0.0]",2,0.04400666858828046,0.04400691050838573,2.4192010527473995e-07,0.0005497351038727944
B3_GCO_F010_R2.txt,3,3,CO,carbon_monoxide,carbon_monoxide,1,1,010,25.0,2,middle,"[0.0, 25.0, 0.0, 0.0]",3,0.24608242389678428,0.24606544996015117,1.6973936633107867e-05,0.00689766313429493
B3_GCO_F010_R2.txt,3,3,CO,carbon_monoxide,carbon_monoxide,1,1,010,25.0,2,middle,"[0.0, 25.0, 0.0, 0.0]",4,0.009502319369017671,0.00950052533080641,1.7940382112616865e-06,0.01888000330857276
