sample_id,sample_index,client_id,client,split,gas_true,gas_pred,true_class,pred_class,route_correct,true_ppm,prob_class_0,prob_class_1,prob_class_2,prob_class_3,class_confidence,class_margin,class_entropy,pred_83d_ppm,pred_84d_h1_ppm,pred_86d_all_priors_ppm,pred_ppm,abs_error,squared_error,classification_uncertainty_risk,regression_disagreement_risk,source_prior_disagreement_risk,qc_risk_score
C5:calibration:0,0,C5,C5,calibration,CO,CO,1,1,1,225.0,0.0012171955313533545,0.9987735152244568,8.644615263619926e-06,5.840195171913365e-07,0.9987735152244568,0.9975563196931034,0.006855505466441316,208.78687842079222,215.61648573923816,214.79879961520942,215.61648573923816,9.383514260761842,88.05033988192086,0.006855505466441316,0.030353810304204167,0.0,0.030353810304204167
C5:calibration:1,1,C5,C5,calibration,Ethanol,Ethanol,0,0,1,87.5,0.9989641904830933,0.0009278092766180634,0.00010075914906337857,7.2806215030141175e-06,0.9989641904830933,0.9980363812064752,0.006151123731035265,90.97422162078014,91.00354553006235,91.47117202275406,91.00354553006235,3.503545530062354,12.2748312812199,0.006151123731035265,0.0002606569713974396,2.111111111111111,2.111111111111111
C5:calibration:2,2,C5,C5,calibration,Ethanol,Ethanol,0,0,1,100.0,0.9989342093467712,0.0009602432837709785,9.873846283880994e-05,6.813395430071978e-06,0.9989342093467712,0.9979739660630003,0.006296663146103893,95.89838253660005,95.90489764775045,96.20494857000136,95.90489764775045,4.095102352249555,16.769863275399835,0.006296663146103893,5.7912099114597975e-05,1.1586817551110047,1.1586817551110047
C5:calibration:3,3,C5,C5,calibration,Methane,Methane,3,3,1,250.0,4.630178409570362e-06,1.509642288510804e-06,1.5042959375932696e-06,0.9999923706054688,0.9999923706054688,0.9999877404270592,7.567262064623534e-05,248.68774084044298,250.0,250.0,250.0,0.0,0.0,7.567262064623534e-05,0.005832262931364514,0.15612708710909576,0.15612708710909576
C5:calibration:4,4,C5,C5,calibration,Ethanol,Ethanol,0,0,1,87.5,0.9990718364715576,0.0008143768063746393,0.00010636757360771298,7.358923085121205e-06,0.9990718364715576,0.998257459665183,0.005612488366905089,89.5593945737327,89.51989273472331,89.41363086073291,89.51989273472331,2.0198927347233138,4.0799666597880275,0.005612488366905089,0.00035112745786124026,2.111111111111111,2.111111111111111
C5:calibration:5,5,C5,C5,calibration,Ethylene,Ethylene,2,2,1,75.0,0.00013231285265646875,6.787872280256124e-06,0.9998602867126465,5.920755938859656e-07,0.9998602867126465,0.99972797385999,0.0010175117658861531,74.640519045317,74.6405190481097,75.14646778806068,74.6405190481097,0.3594809518903048,0.12922655477195966,0.0010175117658861531,2.4823899972640598e-11,2.111111111111111,2.111111111111111
C5:calibration:6,6,C5,C5,calibration,Methane,Methane,3,3,1,150.0,4.365401309769368e-06,1.562248371556052e-06,1.4311940503830556e-06,0.9999926090240479,0.9999926090240479,0.9999882436227381,7.315454990983896e-05,149.815629902551,148.9094156758248,149.4300797839965,148.9094156758248,1.090584324175211,1.1893741681367014,7.315454990983896e-05,0.004027618785449805,0.27299878737993455,0.27299878737993455
C5:calibration:7,7,C5,C5,calibration,CO,CO,1,1,1,50.0,0.001405105460435152,0.9985879063606262,6.149214186734753e-06,7.511908393098565e-07,0.9985879063606262,0.9971828009001911,0.007735518484778204,34.266367596733176,42.70805484720749,41.83793465030067,42.70805484720749,7.291945152792508,53.17246411133415,0.007735518484778204,0.03751861000210807,0.6438086829970082,0.6438086829970082
C5:calibration:8,8,C5,C5,calibration,Ethylene,Ethylene,2,2,1,12.5,0.00028037108131684363,2.1316604033927433e-05,0.9996978044509888,4.46294933453828e-07,0.9996978044509888,0.9994174333696719,0.002042296338946717,12.600737002802475,12.600736984535871,12.66365641681034,12.600736984535871,0.10073698453587099,0.01014794005338031,0.002042296338946717,1.6236981537076645e-10,0.16071895016952378,0.16071895016952378
C5:calibration:9,9,C5,C5,calibration,Methane,Methane,3,3,1,125.0,4.313074441597564e-06,1.5569059996778378e-06,1.4461188584391493e-06,0.9999927282333374,0.9999927282333374,0.9999884151588958,7.272660733528525e-05,125.17286495773374,126.77928868344802,125.00857465179311,126.77928868344802,1.7792886834480157,3.165868219046173,7.272660733528525e-05,0.007139661003174575,0.2999192446838404,0.2999192446838404
C5:calibration:10,10,C5,C5,calibration,Methane,Methane,3,3,1,75.0,4.492836978897685e-06,1.4775139334233245e-06,1.4333919580167276e-06,0.9999926090240479,0.9999926090240479,0.999988116187069,7.345782738407186e-05,73.98144224970326,80.89391498450765,80.60191675485498,80.89391498450765,5.893914984507646,34.73823384460376,7.345782738407186e-05,0.03072210104357503,0.1508179543038956,0.1508179543038956
